Id,Label,timeset,modularity_class
P20273|CD22_HUMAN,,,3
O95782|AP2A1_HUMAN,,,13
Q92519|TRIB2_HUMAN,,,17
Q5S007|LRRK2_HUMAN,,,13
Q96G74|OTUD5_HUMAN,,,15
P26640|SYVC_HUMAN,,,10
Q1L5Z9|LONF2_HUMAN,,,15
Q01105|SET_HUMAN,,,1
P36969|GPX4_HUMAN,,,25
Q92917|GPKOW_HUMAN,,,10
Q9Y490|TLN1_HUMAN,,,3
Q99961|SH3G1_HUMAN,,,13
O43172|PRP4_HUMAN,,,10
O60306|AQR_HUMAN,,,10
Q9HCS7|SYF1_HUMAN,,,10
O95983|MBD3_HUMAN,,,1
Q05516|ZBT16_HUMAN,,,1
O95613|PCNT_HUMAN,,,4
Q8WXI9|P66B_HUMAN,,,1
Q16695|H31T_HUMAN,,,1
Q8NFU7|TET1_HUMAN,,,17
Q8TDI0|CHD5_HUMAN,,,1
P25786|PSA1_HUMAN,,,5
Q9UL46|PSME2_HUMAN,,,5
Q96DT6|ATG4C_HUMAN,,,7
Q9BRP4|PAAF1_HUMAN,,,5
P40937|RFC5_HUMAN,,,1
O00233|PSMD9_HUMAN,,,5
P22234|PUR6_HUMAN,,,25
P28566|5HT1E_HUMAN,,,5
P28074|PSB5_HUMAN,,,5
O75832|PSD10_HUMAN,,,5
Q99471|PFD5_HUMAN,,,13
P68366|TBA4A_HUMAN,,,19
Q9BZL4|PP12C_HUMAN,,,1
Q16667|CDKN3_HUMAN,,,1
P30793|GCH1_HUMAN,,,12
P28340|DPOD1_HUMAN,,,12
Q8IU85|KCC1D_HUMAN,,,25
Q53GG5|PDLI3_HUMAN,,,13
Q15027|ACAP1_HUMAN,,,3
P31749|AKT1_HUMAN,,,3
Q9GZP9|DERL2_HUMAN,,,5
Q92611|EDEM1_HUMAN,,,5
Q86TM6|SYVN1_HUMAN,,,5
Q00765|REEP5_HUMAN,,,2
O94953|KDM4B_HUMAN,,,1
Q99653|CHP1_HUMAN,,,19
P61964|WDR5_HUMAN,,,1
P32942|ICAM3_HUMAN,,,3
Q9NNX6|CD209_HUMAN,,,3
Q8WZ74|CTTB2_HUMAN,,,19
P50990|TCPQ_HUMAN,,,19
P62714|PP2AB_HUMAN,,,19
Q5VSL9|STRP1_HUMAN,,,19
Q9P289|STK26_HUMAN,,,19
O94805|ACL6B_HUMAN,,,1
Q92784|DPF3_HUMAN,,,1
Q14807|KIF22_HUMAN,,,1
P0C0L4|CO4A_HUMAN,,,1
O43521|B2L11_HUMAN,,,6
